_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
70,Caroline Bergvall,"Bergvall, Caroline",Caroline,Bergvall,1962,Germany,UK,,carolinebergvall.com,
700,Serge Berna,"Berna, Serge",Serge,Berna,,,,,,
699,Andre Bernard,"Bernard, Andre",Andre,Bernard,,,,,,
106,Dale Berning,"Berning, Dale",Dale,Berning,,,,,,
373,Michael Beutler,"Beutler, Michael",Michael,Beutler,,,,,,
1262,Tadek Beutlich,"Beutlich, Tadek",Tadek,Beutlich,,,,,,
1010,Joseph Beuys,"Beuys, Joseph",Joseph,Beuys,,,Germany,,,
274,Jon Bewley,"Bewley, Jon",Jon,Bewley,,,,,,
634,Sandesh Bhandare,"Bhandare, Sandesh",Sandesh,Bhandare,,,India,,,
470,Robin Bhattacharya,"Bhattacharya, Robin",Robin,Bhattacharya,,,,,,
584,Zarina Bhimji,"Bhimji, Zarina",Zarina,Bhimji,,,,,,
985,Dilys Bidewell,"Bidewell, Dilys",Dilys,Bidewell,,,,,,
553,Ursula Biemann,"Biemann, Ursula",Ursula,Biemann,,,,,,
668,Helen Biggar,"Biggar, Helen",Helen,Biggar,,,,,,
968,Guillaume Bijl,"Bijl, Guillaume",Guillaume,Bijl,1946,,Belgium,,http://www.guillaumebijl.be,
1270,Phil Bird,"Bird, Phil",Phil,Bird,,,,,,
1349,Philip Bird,"Bird, Philip",Philip,Bird,1952,UK,UK,,,
1378,Sutupa Biswas,"Biswas, Sutupa",Sutupa,Biswas,,,,,,
49,Black Audio Film Collective,Black Audio Film Collective,,Black Audio Film Collective,1982-1998,,UK,,http://www.screenonline.org.uk/people/id/502424/index.html,"The Black Audio Film Collective was formed in Hackney, London in 1982 by John Akomfrah, Reece Auguiste, Edward George, Lina Gopaul, Avril Johnson, David Lawson and Trevor Mathison. 
Black Audio Film Collective (BAFC) operated between 1982-1998."
1238,Elizabeth Blackadder,"Blackadder, Elizabeth",Elizabeth,Blackadder,,,,,,
899,Kate Blacker,"Blacker, Kate",Kate,Blacker,,,,,,
1186,Jean Charles Blais,"Blais, Jean Charles",Jean Charles,Blais,,,France,,,
265,John Blake,"Blake, John",John,Blake,,,,,,
1569,David Blamey,"Blamey, David",David,Blamey,,,,,,
1187,Remi Blanchard,"Blanchard, Remi",Remi,Blanchard,,,France,,,
112,David Blandy,"Blandy, David",David,Blandy,1976,UK,UK,,,
51,Blast Theory,"Blast Theory, ",,Blast Theory,,,,,,
453,Richard Bloes,"Bloes, Richard",Richard,Bloes,,,,,,
30,Ansuya Blom,"Blom, Ansuya",Ansuya,Blom,1956,Netherlands,Netherlands,,,
1014,Bernhard Johannes Blume,"Blume, Bernhard Johannes",Bernhard Johannes,Blume,,,Germany,,,
1011,Claus Böhmler,"Böhmler, Claus",Claus,Böhmler,,,Germany,,,
1188,Francois Boisron,"Boisron, Francois",Francois,Boisron,,,France,,,
281,Juan Bolivar,"Bolivar, Juan",Juan,Bolivar,1966,Venezuela,UK,,,
246,Jay Bolotin,"Bolotin, Jay",Jay,Bolotin,,,,,,
724,Christian Boltanski,"Boltanski, Christian",Christian,Boltanski,,,,,,
1454,Clive Bordoli,"Bordoli, Clive",Clive,Bordoli,,,,,,
424,Paul Botham,"Botham, Paul",Paul,Botham,,,,,,
1031,Alice Boughton,"Boughton, Alice",Alice,Boughton,1865-1943,USA,USA,,,
1139,Clive Bowen,"Bowen, Clive",Clive,Bowen,,,,,,
348,Mark Boyle/Sensual Laboratory,"Boyle, Mark",Mark,Boyle,,,,,,
1529,Gordon Bradshaw,"Bradshaw, Gordon",Gordon,Bradshaw,,,,,,
663,Kayle Brandon,"Brandon, Kayle",Kayle,Brandon,,,,,,
